,Pair,Long Short Band,Foil Decay Band,Leverage,Gross return %,Net return %,Borrow paid ($),Max drawdown %,Worst day %,Trades,Rate source,Shares available,Borrow rate (used) %,Breakeven borrow rate % (annualized),Min margin cushion ($),Stopped,De-risks
154,TNA / IWM,0.05,0.1,3,7.814254623765271,4.431556673483007,338.26979502822644,-0.984131688248632,-0.9693251129358316,264,live,150000,5.3332999999999995,12.320273579687978,1834.9268751489699,False,0
155,TNA / IWM,0.05,0.015,3,7.82279857286297,4.455616944524028,336.7181628338942,-0.9217188832824167,-0.9032437039111261,342,live,150000,5.3332999999999995,12.390579491618183,2474.8662775648027,False,0
156,TNA / IWM,0.075,0.01,3,7.874909379161338,4.5073244827799845,336.75848963813536,-0.9217888139497609,-0.9032437039111255,400,live,150000,5.3332999999999995,12.47162446803092,2476.622840199758,False,0
157,TNA / IWM,0.075,0.025,3,7.8350018089494,4.468066848972464,336.6934959976936,-0.9170408765514452,-0.9032437039111255,261,live,150000,5.3332999999999995,12.410817448031722,2410.1382315559813,False,0
158,TNA / IWM,0.075,0.05,3,8.322179736454961,4.948810910844218,337.3368825610744,-0.9556863916048791,-0.9230267100225302,197,live,150000,5.3332999999999995,13.157375751938236,2200.5454130993057,False,0
159,TNA / IWM,0.075,0.075,3,7.815086026443145,4.440005946695907,337.5080079747239,-0.9606388280879866,-0.9278099016571013,178,live,150000,5.3332999999999995,12.349395368405801,2027.6193799617758,False,0
160,TNA / IWM,0.075,0.1,3,8.10526054789106,4.722562597608796,338.2697950282264,-0.9956396040859653,-0.9616145591278411,181,live,150000,5.3332999999999995,12.779085426903174,1818.2270353200038,False,0
161,TNA / IWM,0.075,0.015,3,7.82279857286297,4.455616944524028,336.7181628338942,-0.9217188832824167,-0.9032437039111261,342,live,150000,5.3332999999999995,12.390579491618183,2474.8662775648027,False,0
162,TNA / IWM,0.1,0.01,3,7.874909379161338,4.5073244827799845,336.75848963813536,-0.9217888139497609,-0.9032437039111255,400,live,150000,5.3332999999999995,12.47162446803092,2476.622840199758,False,0
163,TNA / IWM,0.1,0.025,3,7.8350018089494,4.468066848972464,336.6934959976936,-0.9170408765514452,-0.9032437039111255,261,live,150000,5.3332999999999995,12.410817448031722,2410.1382315559813,False,0
164,TNA / IWM,0.1,0.05,3,8.60802856872927,5.234659743118526,337.3368825610744,-0.9402512174959873,-0.9230267100225308,125,live,150000,5.3332999999999995,13.609303085111641,2291.809836484973,False,0
165,TNA / IWM,0.1,0.075,3,8.429267278757235,5.054187199009997,337.5080079747239,-0.9451236677827318,-0.9278099016571013,145,live,150000,5.3332999999999995,13.319924302703576,2027.6193799617758,False,0
166,TNA / IWM,0.1,0.1,3,8.79167795217008,5.408980001887814,338.26979502822644,-0.9795591505252866,-0.9616145591278404,135,live,150000,5.3332999999999995,13.861319192982055,1818.2270353200038,False,0
167,TNA / IWM,0.1,0.015,3,7.82279857286297,4.455616944524028,336.7181628338942,-0.9217188832824167,-0.9032437039111261,342,live,150000,5.3332999999999995,12.390579491618183,2474.8662775648027,False,0
168,TMF / TLT,0.005,0.01,3,1.9239736198680473,0.9990221219881388,92.49514978799084,-1.009105100758971,-0.6216849863318206,448,live,3800000,1.4651,3.047526012909526,2444.2029882479437,False,0
169,TMF / TLT,0.005,0.025,3,1.9224979549456689,0.997234679836583,92.52632751090859,-1.0169917824400585,-0.621704306161976,448,live,3800000,1.4651,3.044162488194309,2334.4653729934207,False,0
170,TMF / TLT,0.005,0.05,3,1.804449465913551,0.8786225297631391,92.5826936150412,-1.0325179404831244,-0.6435479709730726,447,live,3800000,1.4651,2.8555001040501544,2139.980112755641,False,0
171,TMF / TLT,0.005,0.075,3,1.6654872931152525,0.7454483327383247,92.00389603769278,-1.002219912338612,-0.6435479709730726,448,live,3800000,1.4651,2.652176199302992,2020.735349757295,False,0
172,TMF / TLT,0.005,0.1,3,1.6892295360758047,0.7701712802009536,91.90582558748511,-1.059894366949155,-0.672927334865321,448,live,3800000,1.4651,2.6928545361347216,1781.2576012151112,False,0
173,TMF / TLT,0.005,0.015,3,1.9301849098552908,1.0052591914002433,92.49257184550477,-1.0166449563072724,-0.6217043061619759,449,live,3800000,1.4651,3.0574497551571813,2421.68925246429,False,0
174,TMF / TLT,0.0075,0.01,3,1.9232269705874316,0.9982754727075231,92.49514978799084,-1.009105100758971,-0.6216849863318206,431,live,3800000,1.4651,3.0463433391546992,2444.2029882479437,False,0
175,TMF / TLT,0.0075,0.025,3,1.9281613066885326,1.002898031579447,92.52632751090859,-1.0169917824400585,-0.621704306161976,430,live,3800000,1.4651,3.0531300727312525,2334.4653729934207,False,0
176,TMF / TLT,0.0075,0.05,3,1.8150175935934438,0.8891906574430319,92.5826936150412,-1.0325179404831244,-0.6435479709730726,428,live,3800000,1.4651,2.872223924949328,2139.8764959611844,False,0
